Country,Year,Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food imports (current US$),Food imports per capita (current US$),Food imports (% GDP)
Japan,1994,275235000000,4907039384469.68,39268.5668686204,124961000,18.1412740302175,49931135577.06914,399.57375162706074,1.0175409583036261
Japan,1995,335882000000,5449116304981.1,43440.3678678967,125439000,16.1944988579597,54394406654.09221,433.63233646706533,0.998224365377734
Japan,1996,349152000000,4833712542207.1,38436.9263119118,125757000,15.5350667530822,54240996269.72156,431.31592094055645,1.12213946932299
Japan,1997,338754000000,4414732843544.43,35021.7190917159,126057000,14.6746795894625,49711064096.48779,394.353856560824,1.126026553773899
Japan,1998,280484000000,4032509760872.94,31902.7670955137,126400000,15.8689874226981,44509970682.68054,352.1358440085486,1.1037783743155831
Japan,1999,309995000000,4562078822335.45,36026.5560750168,126631000,15.1530169017103,46973594744.45685,370.9486203572336,1.0296532912688652
Japan,2000,379511000000,4887519660744.86,38532.0408752935,126843000,12.7878292925791,48531218826.55987,382.60856985848545,0.9929621197506076
Japan,2001,349089000000,4303544259842.72,33846.4656414342,127149000,13.0498625156074,45555634557.10871,358.2854332877861,1.0585608467466676
Japan,2002,337194000000,4115116279069.77,32289.3505360726,127445000,13.2608644713978,44714839345.685104,350.85597195405944,1.0865996563235143
Japan,2003,382930000000,4445658071221.86,34808.3909176613,127718000,12.2998578514723,47099845670.642876,368.78001276752593,1.0594572258162398
Japan,2004,454542000000,4815148854362.11,37688.7223359406,127761000,11.5797423950606,52634792677.35635,411.97855900749335,1.093108318544997
Japan,2005,515866388000,4755410630912.14,37217.648727917,127773000,10.3972715529177,53636029210.58806,419.7759245739558,1.127894799703135
Japan,2006,579063945000,4530377224970.4,35433.988963743,127854000,9.00328578468814,52134781844.439354,407.76809364149227,1.1507823577490277
Japan,2007,622243336000,4515264514430.57,35275.2284312667,128001000,8.89168245988851,55327901564.93713,432.24585405533657,1.2253523882844914
Japan,2008,762533921000,5037908465114.48,39339.2975731826,128063000,8.663207569979,66059896367.72969,515.8390508400529,1.3112563839769675
Japan,2009,551980631000,5231382674593.7,40855.1756354596,128047000,10.4524376926942,57695431531.01528,450.58011145138335,1.1028715565239404
Japan,2010,694059160000,5700098114744.41,44507.6763859172,128070000,9.23049772920671,64065115003.15117,500.23514486726924,1.1239300396853578
Japan,2011,855380474000,6157459594823.72,48167.9972684965,127833000,9.23478693601057,78992564266.13728,617.9356212099949,1.2828758849273252
Japan,2012,885843335000,6203213121334.12,48603.4766497749,127629000,8.8992095800352,78833054932.42331,617.6735297810318,1.2708422778720965
Japan,2013,833166061000,5155717056270.83,40454.4474578903,127445000,8.60518042441985,71695442784.08194,562.5598711921373,1.3906008029839367
Japan,2014,812208203000,4850413536037.84,38109.4121125573,127276000,8.4651118900411,68754333164.04216,540.1987268930683,1.4174942539065556
Japan,2015,647982177000,4394977752877.82,34567.7456750995,127141000,10.0116430663802,64873662694.99998,510.2497439456979,1.4760862589695902
Japan,2016,607602355000,4949273341993.88,38972.3406391468,126994511,10.3313851563418,62773739514.053215,494.30277749605426,1.2683425459941153
Japan,2017,671920750728.351,4872136945507.59,38428.0973168279,126785797,10.0276517389516,67377872844.78812,531.4307630592732,1.3829223931588102
New Zealand,1987,7276000000,40338594862.2717,12319.3851888199,3274400,6.72179160380937,489077557.09316975,149.36402305557345,1.2124308215569484
New Zealand,1988,7342000000,45493075684.38,13855.4777621916,3283400,7.70432503965876,565651544.4117461,172.27616020337032,1.2433794284125794
New Zealand,1989,8784000000,44170562821.8027,13388.2646768316,3299200,7.44774662891008,654210063.8834615,198.2935450665196,1.4810996783598642
New Zealand,1990,9501000000,45519034243.71,13670.20068584,3329800,6.77599531820834,643787315.1829745,193.34113615922112,1.414325514324671
New Zealand,1991,8381000000,42756020706.7297,12233.1323014305,3495100,7.81949385807694,655351780.2454283,187.50587400801933,1.5327707523124983
New Zealand,1992,9201000000,41636005954.9128,11789.2250063462,3531700,7.2589687686717,667897716.4054831,189.11507670682195,1.6041349334245523
New Zealand,1993,9636000000,46712018140.5896,13076.540546607,3572200,7.74492813489949,746301275.0789149,208.91923046831502,1.5976643801446662
New Zealand,1994,11913000000,55154160815.6786,15235.9560264306,3620000,7.50627815871363,894222917.0475546,247.02290526175543,1.6213154253873718
